#  International Draughts transcripts generated by TD(lambda) training.
#  Results:
#      1-0: Light (side to move first) won
#      0-1: Dark won
#      1/2-1/2: Draw
#  Starting position  <t>  Space-separated list of moves  <t>  Result
Draughts	17-22 33-28 12-17 32-27 22-33-24 34-28 24-33 38-27 7-12 27-23 18-27 39-34 17-22 34-28 3-7 44-39 27-32 37-26-17 12-23-34 39-28 16-22 42-37 13-18 47-42 18-23 28-17-26 14-18 37-33 8-13 26-22 11-16 22-11-20 7-12 43-37 19-24 20-15 10-21 30-25 21-30 33-28 24-33 37-28 13-17 31-26 2-7 42-37 5-11 37-32 18-23 26-22 17-26-37 28-17 12-23 36-32 37-26 48-44 23-27 44-38 4-8 35-31 26-35 40-31 1-5 38-33 27-38 49-44 38-49 31-25 30-21 45-40 49-33 46-42 33-46-35 40-31 11-16 31-26 21-32	1-0
Draughts	18-23 31-26 15-21 26-15 10-21 36-31 21-25 30-21 16-25-36-27 33-22 17-26 37-32 26-37 43-32 12-16 34-29 14-18 42-36 23-27 32-23-14 9-18 35-31 8-14 31-26 19-24 41-35 4-9 39-34 18-23 29-18-27 3-8 27-22 16-27 47-43 5-10 43-37 10-15 37-33 1-5 33-22 15-21 26-15 11-20 48-43 13-17 22-13-4 7-13 4-17-1-10 2-6 10-15 20-11 46-41 14-19 34-29 19-24 29-18 9-14 18-9 11-15 38-33 15-21 36-31 21-25 31-20 6-11 41-36 11-15 20-11 0-5 11-0	0-1
Draughts	17-23 33-27 15-20 27-22 16-27 31-26 11-16 37-33 16-21 33-22 23-27 26-15 20-11 22-33 18-23 34-28 23-34 39-28 13-18 35-31 11-15 31-25 12-17 36-31 6-12 25-20 19-24 20-11 5-16 28-19 2-6 41-35 8-13 19-8 3-14 42-36 16-22 45-41 14-19 33-28 6-11 38-34 1-6 43-38 9-14 30-25 22-27 32-23 18-27 44-39 11-16 28-23 17-28 34-23-32 10-15 48-43 13-17 32-27 17-23 27-18-9 16-21 25-16 12-21 35-30 21-25 31-20-11-2-13 4-8 13-4 0-5 49-44 5-11 4-26 11-15 26-10 19-24 10-5 24-28 5-1 28-34 38-29	0-1
Draughts	15-21 33-27 21-26 31-22 17-26 32-21 16-25 30-21 18-23 27-18 13-24 37-32 24-28 34-23 12-17 23-12 7-16-25 35-30 14-18 30-21 8-13 21-15 10-21 42-37 18-24 41-35 3-7 38-34 13-17 35-30 11-15 34-28 24-33-42-31 40-35 31-40 32-27 21-25 30-21-10 4-8 45-41 7-13 27-22 17-26 47-42 6-11 42-36 19-24 44-38 24-29 48-44 2-6 46-42 11-15 10-21-32 13-17 42-37 29-34 38-29 17-22 44-38 9-14 37-33 22-26 32-21 5-11 21-16 11-22 36-31 40-45 33-27 45-32-23 43-37 23-17 37-33 1-5 39-34 17-39 29-24 6-11 33-27 22-33-44 49-38 11-15 24-18 14-23 38-34 39-28 31-26 15-21 26-15 28-33 15-11 5-16	1-0
Draughts	15-20 34-29 18-24 29-18 13-24 30-25 8-13 33-28 24-33 37-28 16-21 25-16 12-21 32-27 17-22 27-16-25 13-17 35-30 4-8 31-26 20-31-22 30-25 17-23 28-17-26 11-16 36-32 16-22 26-17 7-13 25-20 13-22 20-15 10-21 41-35 14-18 46-41 18-24 35-31 2-7 32-27 22-33 38-27 21-26 31-22 9-14 41-36 14-18 36-31 6-11 45-41 7-12 31-26 18-23 27-18-29 12-16 44-38 16-27 29-24 19-28 26-21 28-33 21-15 33-44 15-6 1-12 49-38 5-10 40-35 27-32 48-44 8-14 41-36 32-41-30 42-36 3-8 43-37 10-15 37-33 14-19 36-32 8-13 32-26 15-21 26-15 12-16 33-27 30-35 15-10 16-22 27-16 13-17 16-11 17-23 47-43 35-40 11-6 23-28 39-34 28-39-48-37 38-34 40-45 34-28 45-41 6-2 41-18 2-29 37-43 29-47 19-24 28-19 0-5 10-1	0-1
Draughts	17-22 33-28 16-21 38-33 22-26 31-22 15-20 35-31 18-24 28-23 12-17 23-12 7-16-27-38-29 40-35 24-28 39-34 29-38 44-33-24 19-28 30-25 21-30 31-25 20-31-40 43-38 10-15 38-34 28-39 41-35 30-41 46-35 40-31 36-25 15-20 48-43 20-31 42-36 31-42-33 45-40 3-7 40-35 14-18 47-42 9-14 43-37 5-10 37-28 13-17 42-36 6-12 35-31 1-5 28-24 18-29 49-44 39-48 32-26 48-21 36-32 21-48 31-26 48-15	1-0
Draughts	16-21 33-28 11-16 30-25 21-30 38-33 16-22 43-38 17-23 28-17-26 15-21 26-15 10-21 47-43 13-17 34-28 18-23 28-24 19-28 33-24 23-27 32-23 17-28-19 38-33 5-11 44-38 14-18 33-28 8-14 36-32 11-15 32-27 3-8 37-33 7-13 38-34 13-17 31-25 17-22 27-16-7 2-13 25-16 6-12 16-7 13-2 48-44 15-21 43-37 21-26 34-29 18-24 29-18 14-23-34 39-28 8-14 41-36 30-41-32-43 45-41 26-32 28-23 4-8 33-28 14-18 23-14-3 1-6 40-35 2-7 3-21-37-48 0-5 35-30 6-11 44-38 9-14 28-24 19-28 48-43 14-18 42-36 28-34 38-29 11-16 43-48 18-24 29-18 16-22 48-32 22-27 32-23 5-10 23-27 10-15 30-25 15-21 25-16	0-1
Draughts	18-23 31-25 23-28 33-24 19-28 34-23 17-28 37-33 28-37-26 25-20 13-18 35-31 26-35 40-31 16-22 36-32 15-21 45-40 21-25 30-21 14-19 32-27 22-33 38-27 18-23 27-18 8-13 43-38 13-24 42-37 9-14 46-42 11-15 20-11 5-16-25-36-45 38-34 45-41 42-36 41-32-43-29 47-43 29-47 40-35 47-20 35-30 12-17 44-38 10-15 39-34 20-31 48-44 15-20 30-25 17-23 25-36 3-8 36-31 23-27 31-26 7-13 26-22 27-16 38-33 2-7 33-27 1-5 27-23 13-17 23-12-1-10 4-9 44-38 20-25 10-5 0-11 34-29 25-31 29-18 14-23 49-44 7-12 44-39 16-22 39-34 11-15 38-33 23-28 33-24 19-28-39	1-0
Draughts	17-23 33-27 15-20 34-28 23-34 38-29 20-25 31-20 16-22 27-16 12-21 20-15 11-20 36-31 21-26 31-22 18-24 29-18 13-24 44-38 10-15 22-16 5-11 16-5 0-11 38-34 11-16 37-33 16-21 42-37 14-18 33-28 24-33-42 46-37 6-12 43-38 20-25 41-36 2-6 34-29 19-24 35-31 6-11 31-20 11-16 20-11-22 21-25 30-21 9-14 38-33 7-13 33-27 1-6 22-16 3-7 40-35 6-11 16-5 4-9 48-43 12-17 5-1 17-23 1-28-19 7-12 29-24 18-29 43-38 12-17 35-31 17-23 27-18-7 14-18 19-3 29-34 39-28 18-23 28-17 9-14 3-19	0-1
Draughts	15-20 31-25 20-31 36-25 16-22 33-28 10-15 34-29 12-16 37-33 22-27 32-23-12-21-10 18-23 28-17 13-22 35-31 22-27 33-22 6-12 29-24 19-28 38-33 28-37 42-33 14-18 25-20 12-16 43-38 16-27 33-22 18-23 31-25 23-27 22-33 2-6 41-36 8-13 46-42 4-8 25-21 11-16 21-12 6-17 40-35 13-18 20-15 17-22 45-40 8-14 30-25 3-8 25-20 7-13 48-43 13-17 36-32 5-11 15-6 1-12 10-5 0-11 42-37 22-26 32-21 18-23 21-16 12-21 38-34 17-22 20-15 21-10 34-29 22-27 33-22 10-15 37-32 23-28 43-38 28-33 38-27 14-19 27-23 15-20 39-34 8-14 23-18 14-23 34-28 23-34 29-38 11-16 22-11 20-25 35-31 25-36-27 47-43 27-33 38-27 19-24 44-38 24-28 11-6 28-33 43-37 33-44 49-38 9-14 6-2 14-19 2-20 19-24 27-23 24-29 20-31 29-34 38-29	0-1
